month_number,Log Monthly Quantity Seized (kg),Percent Population in Urban Areas,HDI,GDI,Mean International Wealth Index,Infant Deaths per 1000 Live Births,Mean Years Schooling,Log Gross National Income Per Capita in 1000 USD,Life Expectancy,Population Density_x,Number of Corruption Cases,Percent of Total Corruption Cases for That Year,Number of Homicides that Year,Gini Coefficient,% Poorest Household (IWI under 30),Border_Department,Ocean_department,Current income (millions pesos),Tax income (millions pesos),Transfers from national entities (millions of pesos),Current expensives linked to institutional performance,Operating Expenses,Area km2,Rural population,Urban population,Total population,Distance to Bogota,Population Density_y,Urban to Rural Population Ratio,Percent Urban Population,Percent Rural Population,Historical Attacks on Population By FARC (1993-2008),Historical Attacks on Population by ELN (1993-2008),Historical Attacks on Population by AUC (1993-2008),Historical Antinarcotics Operations (1993-2008),Historical Dismantling Labs (1993-2008),Total acts of terrorism,Total acts against police,Total subversive actions,Total acts of extorsion,Hectares of coca,Hectores of coca erdaicted manually ,Presence of coca cultivation (dummy),Civilians hurt by mines,Civilians killed by mines,Public force members hurt by mines,Public force members killed by mines,Events of Abandoned property,Events of Acts of Terrorism,Events of Threats,Events of Confinement,Events of Sexual Crimes,Events of Forced Disappearances,Events of Displacement,Events of Homicide,Events of Personal Physical Injuries,Events of Personal Pyschological Injuries,Events of Mine Explosions,Events of Loss of Estate,Events of Kiddnapping,Events of Torture,Lagged_Log_Monthly_Quantity_Seized_1,Lagged_Log_Monthly_Quantity_Seized_2,Lagged_Log_Monthly_Quantity_Seized_3,Lagged_Log_Monthly_Quantity_Seized_4,Lagged_Log_Monthly_Quantity_Seized_5,Lagged_Log_Monthly_Quantity_Seized_6,Rolling_3M_Log_Monthly_Quantity,Rolling_6M_Log_Monthly_Quantity,Rolling_3M_Std_Log_Monthly_Quantity,Rolling_6M_Std_Log_Monthly_Quantity,Rolling_3M_Min_Log_Monthly_Quantity,Rolling_6M_Min_Log_Monthly_Quantity,Rolling_3M_Max_Log_Monthly_Quantity,Rolling_6M_Max_Log_Monthly_Quantity,Rolling_3M_Range_Log_Monthly_Quantity,Rolling_6M_Range_Log_Monthly_Quantity,EMA_3M_Log_Monthly_Quantity,EMA_6M_Log_Monthly_Quantity,Momentum_3_6,Cumulative_Log_Monthly_Quantity_Seized_Per_Year,season_Spring,season_Summer,season_Winter,Growth_Rate_Lag_1_2,Growth_Rate_Lag_2_3,Growth_Rate_Lag_1_3,Department_Antioquia,Department_Arauca,"Department_Archipiélago de San Andrés, Providencia y Santa Catalina",Department_Atlántico,Department_Bogotá D.C.,Department_Bolívar,Department_Boyacá,Department_Caldas,Department_Caquetá,Department_Casanare,Department_Cauca,Department_Cesar,Department_Chocó,Department_Cundinamarca,Department_Córdoba,Department_Guainía,Department_Guaviare,Department_Huila,Department_La Guajira,Department_Magdalena,Department_Meta,Department_Nariño,Department_Norte de Santander,Department_Putumayo,Department_Quindío,Department_Risaralda,Department_Santander,Department_Sucre,Department_Tolima,Department_Valle del Cauca,Department_Vaupés,Department_Vichada
7,2.4849066497880004,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,35.65475257939616,1.0,0.0192307692307692,10,0.26,0.206,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1e-10,2.145814317044097,1.9938836533181894,4.192091165474243,0.09531017980432487,1e-10,1.3798993234540955,1.404516552606809,1.1974399103073405,1.6927376050022254,0.0,0.0,2.145814317044097,4.192091165474243,2.145814317044097,4.192091165474243,1.0528433643691142,1.1906040403171634,-1.3495978261942645,8.565991314507473,0,1,0,-0.9999999999533976,0.07619835965507159,-0.9999999999498466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.1817271953786161,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,50.00074730019489,1.0,0.0192307692307692,10,0.15,0.0784,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4849066497880004,1e-10,2.145814317044097,1.9938836533181894,4.192091165474243,0.09531017980432487,1.5435736556106991,1.818667660904809,1.3474830704884417,1.5806487383006542,0.0,0.0,2.4849066497880004,4.192091165474243,2.4849066497880004,4.192091165474243,1.7688750070785573,1.5604047858802597,0.024617229152713582,11.050897964295473,0,0,0,24849066496.88,-0.9999999999533976,0.1580250117871383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,11.557514628888203,1.0,0.0192307692307692,10,0.12,0.0537,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1817271953786161,2.4849066497880004,1e-10,2.145814317044097,1.9938836533181894,4.192091165474243,1.2222112817222055,1.9997371635005246,1.242947901352049,1.3950818850372482,0.0,0.0,2.4849066497880004,4.192091165474243,2.4849066497880004,4.192091165474243,1.4753011012285868,1.4522111885940758,0.27509400529410977,12.23262515967409,0,0,0,-0.5244379922765167,24849066496.88,11817271952.786161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,68.64154918410343,1.0,0.0192307692307692,10,0.1,0.0292,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1e-10,1.1817271953786161,2.4849066497880004,1e-10,2.145814317044097,1.9938836533181894,1.2222112817222055,1.3010553025881506,1.242947901352049,1.0949759747412255,0.0,0.0,2.4849066497880004,2.4849066497880004,2.4849066497880004,2.4849066497880004,0.7376505506142934,1.0372937061386256,0.777525881778319,12.23262515967409,0,0,0,-0.9999999999153781,-0.5244379922765167,-0.9999999999597571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,207.9714283587312,1.0,0.0192307692307692,10,0.07,0.0040999999999999,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1e-10,1e-10,1.1817271953786161,2.4849066497880004,1e-10,2.145814317044097,0.3939090651262054,0.9687413603684524,0.6822705143605463,1.1441154107832254,0.0,0.0,1.1817271953786161,2.4849066497880004,1.1817271953786161,2.4849066497880004,0.3688252753071467,0.740924075813304,0.07884402086594511,12.23262515967409,0,0,1,0.0,-0.9999999999153781,-0.9999999999153781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.534714366238164,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,0.5984278187565859,0.0,0.0,11,0.06,0.0527,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,1e-10,1e-10,1e-10,1.1817271953786161,2.4849066497880004,1e-10,0.0,0.6111056408611028,0.0,1.0325250211694126,0.0,0.0,0.0,2.4849066497880004,0.0,2.4849066497880004,0.18441263765357335,0.5292314827237886,0.574832295242247,12.23262515967409,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.5040773967762742,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,9.047135582123634,0.0,0.0,11,0.09,0.0191,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,1.534714366238164,1e-10,1e-10,1e-10,1.1817271953786161,2.4849066497880004,0.5115714554127213,0.8668913685674634,0.8860677524767905,1.0409211823202777,0.0,0.0,1.534714366238164,2.4849066497880004,1.534714366238164,2.4849066497880004,0.8595635019458686,0.8165123065850387,0.6111056408611028,1.534714366238164,0,0,1,15347143661.38164,0.0,15347143661.38164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,4400.076686098867,0.0,0.0,11,0.09,0.0056999999999999,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,1.5040773967762742,1.534714366238164,1e-10,1e-10,1e-10,1.1817271953786161,1.0129305876714794,0.7034198263988424,0.8773573602328867,0.7804203293998239,0.0,0.0,1.534714366238164,1.534714366238164,1.534714366238164,1.534714366238164,1.1818204493610713,1.012959475211106,0.3553199131547421,3.038791763014438,1,0,0,-0.019962652423060317,15347143661.38164,15040773966.762741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.1972245773362196,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,131.28101528101527,0.0,0.0,11,0.13,0.0289999999999999,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,1e-10,1.5040773967762742,1.534714366238164,1e-10,1e-10,1e-10,1.0129305876714794,0.5064652938357397,0.8773573602328868,0.7846724715791131,0.0,0.0,1.534714366238164,1.534714366238164,1.534714366238164,1.534714366238164,0.5909102246805357,0.7235424822936471,-0.309510761272637,3.038791763014438,1,0,0,-0.9999999999335141,-0.019962652423060317,-0.9999999999348413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0,0.375,0.691,0.953,61.1,27.0,7.475,8.828,73.34,8.39187728071361,0.0,0.0,11,0.15,0.0528,1,0,10678.0,7018.0,1858.0,5770.0,5477.0,109665.0,46615.0,27926.0,74541.0,758.0909090909091,0.679715497196006,0.5990775501448031,0.3746394601628633,0.6253605398371366,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,3.0,110.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,3.0,189.0,20.0,0.0,0.0,0.0,4.0,1.0,0.0,2.1972245773362196,1e-10,1.5040773967762742,1.534714366238164,1e-10,1e-10,1.2337673247041645,0.872669390058443,1.12327628485173,0.9875304206566584,0.0,0.0,2.1972245773362196,2.1972245773362196,2.1972245773362196,2.1972245773362196,1.3940674010083776,1.1445945094486678,-0.5064652938357397,5.236016340350657,1,0,0,21972245772.362194,-0.9999999999335141,0.46084542061837025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
