month_number,Department,Monthly Quantity Seized (kg),Log Monthly Quantity Seized (kg),Percent Population in Urban Areas,HDI,GDI,Mean International Wealth Index,Infant Deaths per 1000 Live Births,Mean Years Schooling,Log Gross National Income Per Capita in 1000 USD,Life Expectancy,Population Density_x,Number of Corruption Cases,Percent of Total Corruption Cases for That Year,Number of Homicides that Year,Gini Coefficient,% Poorest Household (IWI under 30),Border_Department,Ocean_department,Current income (millions pesos),Tax income (millions pesos),Transfers from national entities (millions of pesos),Current expensives linked to institutional performance,Operating Expenses,Area km2,Rural population,Urban population,Total population,Distance to Bogota,Population Density_y,Urban to Rural Population Ratio,Percent Urban Population,Percent Rural Population,Historical Attacks on Population By FARC (1993-2008),Historical Attacks on Population by ELN (1993-2008),Historical Attacks on Population by AUC (1993-2008),Historical Antinarcotics Operations (1993-2008),Historical Dismantling Labs (1993-2008),Total acts of terrorism,Total acts against police,Total subversive actions,Total acts of extorsion,Hectares of coca,Hectores of coca erdaicted manually ,Presence of coca cultivation (dummy),Civilians hurt by mines,Civilians killed by mines,Public force members hurt by mines,Public force members killed by mines,Events of Abandoned property,Events of Acts of Terrorism,Events of Threats,Events of Confinement,Events of Sexual Crimes,Events of Forced Disappearances,Events of Displacement,Events of Homicide,Events of Personal Physical Injuries,Events of Personal Pyschological Injuries,Events of Mine Explosions,Events of Loss of Estate,Events of Kiddnapping,Events of Torture
0,Amazonas,0.149,0.13889199886661863,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,0.5782247980330172,1.0,0.0192307692307692,10,0.13,0.17,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
1,Amazonas,0.0,0.0,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,8.658130766973164,1.0,0.0192307692307692,10,0.1,0.0126,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
2,Amazonas,0.1,0.09531017980432487,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,4366.651974027205,1.0,0.0192307692307692,10,0.06,0.0003,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
3,Amazonas,65.161,4.192091165474243,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,130.64819476819477,1.0,0.0192307692307692,10,0.08,0.0026,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
4,Amazonas,6.344,1.9938836533181894,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,8.175834572239491,1.0,0.0192307692307692,10,0.1,0.023,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
5,Amazonas,7.549,2.145814317044097,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,9.767272414884763,1.0,0.0192307692307692,10,0.21,0.157,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
6,Amazonas,0.0,0.0,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,0.49288001061767,1.0,0.0192307692307692,10,0.24,0.2269999999999999,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
7,Amazonas,11.0,2.4849066497880004,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,35.65475257939616,1.0,0.0192307692307692,10,0.26,0.206,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
8,Amazonas,2.26,1.1817271953786161,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,50.00074730019489,1.0,0.0192307692307692,10,0.15,0.0784,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
9,Amazonas,0.0,0.0,0.376,0.676,0.95,58.3,24.4,7.017,8.734,73.49,11.557514628888203,1.0,0.0192307692307692,10,0.12,0.0537,1,0,9749.0,6323.0,1562.0,5712.0,5367.0,109665.0,46020.0,27679.0,73699.0,758.0909090909091,0.6720375689600145,0.6014558887440243,0.3755681895276734,0.6244318104723267,2.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,2.0,98.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,0.0,3.0,5.0,167.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
